00TG               20151204                                                                                   
0601TGA0N       20160101000000100000120000 0000000040000034   
0601TGA0N       20160101000120100000005000 0000000040000033   
0601TGA0N       20160101000125100000005000 0000000040000031   
0601TGA0N       20160101000130100000005000 0000000040000030   
0601TGA0N       20160101000135100000005000 0000000040000029   
0601TGA0N       20160101000140100000005000 0000000040000028   
0601TGA0N       20160101000145100000005000 0000000040000027   
0601TGA0N       20160101000150100000005000 0000000040000026   
0601TGA0N       20160101000155100000005000 0000000040000025   
0601TGA0N       20160101000160100000005000 0000000040000025   
0601TGA0N       20160101000165100000005000 0000000040000024   
0601TGA0N       20160101000170100000005000 0000000040000023   
0601TGA0N       20160101000175100000005000 0000000040000023   
0601TGA0N       20160101000180100000005000 0000000040000022   
0601TGA0N       20160101000185100000005000 0000000040000021   
0601TGA0N       20160101000190100000005000 0000000040000021   
0601TGA0N       20160101000195100000005000 0000000040000020   
0601TGA0N       20160101000200100000005000 0000000190000094   
0601TGA0N       20160101000205100000005000 0000000230000111   
0601TGA0N       20160101000210100000005000 0000000270000127   
0601TGA0N       20160101000215100000005000 0000000310000143   
0601TGA0N       20160101000220100000005000 0000000360000162   
0601TGA0N       20160101000225100000005000 0000000410000180   
0601TGA0N       20160101000230100000005000 0000000460000198   
0601TGA0N       20160101000235100000005000 0000000530000223   
0601TGA0N       20160101000240100000005000 0000000590000243   
0601TGA0N       20160101000245100000005000 0000000660000267   
0601TGA0N       20160101000250100000005000 0000000730000289   
0601TGA0N       20160101000255100000005000 0000000790000307   
0601TGA0N       20160101000260100000005000 0000000870000331   
0601TGA0N       20160101000265100000005000 0000000950000355   
0601TGA0N       20160101000270100000005000 0000001030000378   
0601TGA0N       20160101000275100000005000 0000001110000400   
0601TGA0N       20160101000280100000005000 0000001200000425   
0601TGA0N       20160101000285100000005000 0000001280000445   
0601TGA0N       20160101000290100000005000 0000001360000465   
0601TGA0N       20160101000295100000005000 0000001440000484   
0601TGA0N       20160101000300100000005000 0000001520000502   
0601TGA0N       20160101000305100000005000 0000001610000524   
0601TGA0N       20160101000310100000005000 0000001690000541   
0601TGA0N       20160101000315100000005000 0000001770000557   
0601TGA0N       20160101000320100000005000 0000001850000574   
0601TGA0N       20160101000325100000005000 0000001930000589   
0601TGA0N       20160101000330100000005000 0000002020000608   
0601TGA0N       20160101000335100000005000 0000002100000622   
0601TGA0N       20160101000340100000005000 0000002200000642   
0601TGA0N       20160101000345100000005000 0000002280000656   
0601TGA0N       20160101000350100000005000 0000002360000670   
0601TGA0N       20160101000355100000005000 0000002440000683   
0601TGA0N       20160101000360100000005000 0000002520000695   
0601TGA0N       20160101000365100000005000 0000002610000710   
0601TGA0N       20160101000370100000005000 0000002690000722   
0601TGA0N       20160101000375100000005000 0000002770000734   
0601TGA0N       20160101000380100000005000 0000002850000745   
0601TGA0N       20160101000385100000005000 0000002930000756   
0601TGA0N       20160101000390100000005000 0000003020000769   
0601TGA0N       20160101000395100000005000 0000003100000780   
0601TGA0N       20160101000400100000005000 0000003180000790   
0601TGA0N       20160101000405100000005000 0000003270000802   
0601TGA0N       20160101000410100000005000 0000003360000815   
0601TGA0N       20160101000415100000005000 0000003460000829   
0601TGA0N       20160101000420100000005000 0000003550000840   
0601TGA0N       20160101000425100000005000 0000003650000854   
0601TGA0N       20160101000430100000005000 0000003740000865   
0601TGA0N       20160101000435100000005000 0000003840000878   
0601TGA0N       20160101000440100000005000 0000003940000890   
0601TGA0N       20160101000445100000005000 0000004030000901   
0601TGA0N       20160101000450100000005000 0000004130000913   
0601TGA0N       20160101000455100000005000 0000004220000922   
0601TGA0N       20160101000460100000005000 0000004320000934   
0601TGA0N       20160101000465100000005000 0000004410000943   
0601TGA0N       20160101000470100000005000 0000004510000954   
0601TGA0N       20160101000475100000005000 0000004640000972   
0601TGA0N       20160101000480100000005000 0000004740000982   
0601TGA0N       20160101000485100000005000 0000004840000993   
0601TGA0N       20160101000490100000005000 0000004940001003   
0601TGA0N       20160101000495100000005000 0000005050001015   
0601TGA0N       20160101000500100000005000 0000005150001025   
0601TGA0N       20160101000505100000005000 0000005250001034   
0601TGA0N       20160101000510100000005000 0000005360001046   
0601TGA0N       20160101000515100000005000 0000005460001055   
0601TGA0N       20160101000520100000005000 0000005570001066   
0601TGA0N       20160101000525100000005000 0000005670001075   
0601TGA0N       20160101000530100000005000 0000005770001084   
0601TGA0N       20160101000535100000005000 0000005870001092   
0601TGA0N       20160101000540100000005000 0000005980001102   
0601TGA0N       20160101000545100000005000 0000006080001111   
0601TGA0N       20160101000550100000005000 0000006190001120   
0601TGA0N       20160101000555100000005000 0000006290001128   
0601TGA0N       20160101000560100000005000 0000006390001136   
0601TGA0N       20160101000565100000005000 0000006490001144   
0601TGA0N       20160101000570100000005000 0000006600001153   
0601TGA0N       20160101000575100000005000 0000006680001157   
0601TGA0N       20160101000580100000005000 0000006780001164   
0601TGA0N       20160101000585100000005000 0000006890001173   
0601TGA0N       20160101000590100000005000 0000006990001180   
0601TGA0N       20160101000595100000005000 0000007090001187   
0601TGA0N       20160101000600100000005000 0000007200001195   
0601TGA0N       20160101000605100000005000 0000007300001202   
0601TGA0N       20160101000610100000005000 0000007390001207   
0601TGA0N       20160101000615100000005000 0000007490001213   
0601TGA0N       20160101000620100000005000 0000007590001219   
0601TGA0N       20160101000625100000005000 0000007690001225   
0601TGA0N       20160101000630100000005000 0000007790001232   
0601TGA0N       20160101000635100000005000 0000007890001238   
0601TGA0N       20160101000640100000005000 0000007990001244   
0601TGA0N       20160101000645100000005000 0000008070001246   
0601TGA0N       20160101000650100000005000 0000008170001252   
0601TGA0N       20160101000655100000005000 0000008270001258   
0601TGA0N       20160101000660100000005000 0000008370001263   
0601TGA0N       20160101000665100000005000 0000008470001269   
0601TGA0N       20160101000670100000005000 0000008570001274   
0601TGA0N       20160101000675100000005000 0000008670001280   
0601TGA0N       20160101000680100000005000 0000008760001284   
0601TGA0N       20160101000685100000005000 0000008860001289   
0601TGA0N       20160101000690100000005000 0000008960001294   
0601TGA0N       20160101000695100000005000 0000009060001299   
0601TGA0N       20160101000700100000005000 0000009160001304   
0601TGA0N       20160101000705100000005000 0000009260001309   
0601TGA0N       20160101000710100000005000 0000009360001314   
0601TGA0N       20160101000715100000005000 0000009440001316   
0601TGA0N       20160101000720100000005000 0000009540001320   
0601TGA0N       20160101000725100000005000 0000009640001325   
0601TGA0N       20160101000730100000005000 0000009740001330   
0601TGA0N       20160101000735100000005000 0000009840001334   
0601TGA0N       20160101000740100000005000 0000009940001339   
0601TGA0N       20160101000745100000005000 0000010040001343   
0601TGA0N       20160101000750100000005000 0000010120001345   
0601TGA0N       20160101000755100000005000 0000010220001349   
0601TGA0N       20160101000760100000005000 0000010320001353   
0601TGA0N       20160101000765100000005000 0000010420001358   
0601TGA0N       20160101000770100000005000 0000010520001362   
0601TGA0N       20160101000775100000005000 0000010630001367   
0601TGA0N       20160101000780100000005000 0000010740001373   
0601TGA0N       20160101000785100000005000 0000010830001375   
0601TGA0N       20160101000790100000005000 0000010950001382   
0601TGA0N       20160101000795100000005000 0000011060001387   
0601TGA0N       20160101000800100000005000 0000011170001392   
0601TGA0N       20160101000805100000005000 0000011280001397   
0601TGA0N       20160101000810100000005000 0000011390001402   
0601TGA0N       20160101000815100000005000 0000011510001408   
0601TGA0N       20160101000820100000005000 0000011600001410   
0601TGA0N       20160101000825100000005000 0000011710001415   
0601TGA0N       20160101000830100000005000 0000011830001421   
0601TGA0N       20160101000835100000005000 0000011940001426   
0601TGA0N       20160101000840100000005000 0000012060001431   
0601TGA0N       20160101000845100000005000 0000012170001436   
0601TGA0N       20160101000850100000005000 0000012290001442   
0601TGA0N       20160101000855100000005000 0000012380001444   
0601TGA0N       20160101000860100000005000 0000012500001449   
0601TGA0N       20160101000865100000005000 0000012620001455   
0601TGA0N       20160101000870100000005000 0000012740001460   
0601TGA0N       20160101000875100000005000 0000012860001466   
0601TGA0N       20160101000880100000005000 0000013010001474   
0601TGA0N       20160101000885100000005000 0000013130001479   
0601TGA0N       20160101000890100000005000 0000013250001485   
0601TGA0N       20160101000895100000005000 0000013370001490   
0601TGA0N       20160101000900100000005000 0000013490001495   
0601TGA0N       20160101000905100000005000 0000013610001500   
0601TGA0N       20160101000910100000005000 0000013730001505   
0601TGA0N       20160101000915100000005000 0000013850001510   
0601TGA0N       20160101000920100000005000 0000013980001515   
0601TGA0N       20160101000925100000005000 0000014100001520   
0601TGA0N       20160101000930100000005000 0000014220001525   
0601TGA0N       20160101000935100000005000 0000014340001530   
0601TGA0N       20160101000940100000005000 0000014460001534   
0601TGA0N       20160101000945100000005000 0000014580001539   
0601TGA0N       20160101000950100000005000 0000014700001543   
0601TGA0N       20160101000955100000005000 0000014820001548   
0601TGA0N       20160101000960100000005000 0000014950001553   
0601TGA0N       20160101000965100000005000 0000015070001558   
0601TGA0N       20160101000970100000005000 0000015190001562   
0601TGA0N       20160101000975100000005000 0000015310001566   
0601TGA0N       20160101000980100000005000 0000015430001570   
0601TGA0N       20160101000985100000005000 0000015550001575   
0601TGA0N       20160101000990100000005000 0000015670001579   
0601TGA0N       20160101000995100000005000 0000015790001583   
0601TGA0N       20160101001000100000005000 0000015920001588   
0601TGA0N       20160101001005100000005000 0000016040001592   
0601TGA0N       20160101001010100000005000 0000016160001596   
0601TGA0N       20160101001015100000005000 0000016300001602   
0601TGA0N       20160101001020100000005000 0000016430001607   
0601TGA0N       20160101001025100000005000 0000016550001611   
0601TGA0N       20160101001030100000005000 0000016670001615   
0601TGA0N       20160101001035100000005000 0000016790001618   
0601TGA0N       20160101001040100000005000 0000016910001622   
0601TGA0N       20160101001045100000005000 0000017030001626   
0601TGA0N       20160101001050100000005000 0000017150001629   
0601TGA0N       20160101001055100000005000 0000017270001633   
0601TGA0N       20160101001060100000005000 0000017400001638   
