00BS               20190214                                                                                   
0601BSA0N       20190101000000100000110000 0000000000000000   
0601BSA0N       20190101000110100000010000 0000000000000000   
0601BSA0N       20190101000120100000010000 0000000000000000   
0601BSA0N       20190101000130100000010000 0000000000000000   
0601BSA0N       20190101000140100000010000 0000000000000000   
0601BSA0N       20190101000150100000010000 0000000000000000   
0601BSA0N       20190101000160100000010000 0000000000000000   
0601BSA0N       20190101000170100000010000 0000000000000000   
0601BSA0N       20190101000180100000010000 0000000000000000   
0601BSA0N       20190101000190100000010000 0000000000000000   
0601BSA0N       20190101000200100000010000 0000000000000001   
0601BSA0N       20190101000210100000010000 0000000000000004   
0601BSA0N       20190101000220100000010000 0000000000000006   
0601BSA0N       20190101000230100000010000 0000000000000017   
0601BSA0N       20190101000240100000010000 0000000000000093   
0601BSA0N       20190101000250100000010000 0000000000000171   
0601BSA0N       20190101000260100000010000 0000000000000237   
0601BSA0N       20190101000270100000010000 0000000000000304   
0601BSA0N       20190101000280100000010000 0000000000000360   
0601BSA0N       20190101000290100000010000 0000000000000412   
0601BSA0N       20190101000300100000010000 0000000000000466   
0601BSA0N       20190101000310100000010000 0000000000000512   
0601BSA0N       20190101000320100000010000 0000000000000560   
0601BSA0N       20190101000330100000010000 0000000000000600   
0601BSA0N       20190101000340100000010000 0000000000000643   
0601BSA0N       20190101000350100000010000 0000000000000678   
0601BSA0N       20190101000360100000010000 0000000000000712   
0601BSA0N       20190101000370100000010000 0000000000000748   
0601BSA0N       20190101000380100000010000 0000000000000778   
0601BSA0N       20190101000390100000010000 0000000000000812   
0601BSA0N       20190101000400100000010000 0000000000000839   
0601BSA0N       20190101000410100000010000 0000000000000869   
0601BSA0N       20190101000420100000010000 0000000000000893   
0601BSA0N       20190101000430100000010000 0000000000000921   
0601BSA0N       20190101000440100000010000 0000000000000943   
0601BSA0N       20190101000450100000010000 0000000000000964   
0601BSA0N       20190101000460100000010000 0000000000000988   
0601BSA0N       20190101000470100000010000 0000000000001009   
0601BSA0N       20190101000480100000010000 0000000000001035   
0601BSA0N       20190101000490100000010000 0000000000001056   
0601BSA0N       20190101000500100000010000 0000000000001079   
0601BSA0N       20190101000510100000010000 0000000000001098   
0601BSA0N       20190101000520100000010000 0000000000001117   
0601BSA0N       20190101000530100000010000 0000000000001138   
0601BSA0N       20190101000540100000010000 0000000000001155   
0601BSA0N       20190101000550100000010000 0000000000001175   
0601BSA0N       20190101000560100000010000 0000000000001190   
0601BSA0N       20190101000570100000010000 0000000000001208   
0601BSA0N       20190101000580100000010000 0000000000001223   
0601BSA0N       20190101000590100000010000 0000000000001240   
0601BSA0N       20190101000600100000010000 0000000000001253   
0601BSA0N       20190101000610100000010000 0000000000001267   
