00AR               20181129                                                                                   
0601ARA0N       20190101000000100000115000 0000000030000026   
0601ARA0N       20190101000115100000005000 0000000030000026   
0601ARA0N       20190101000120100000005000 0000000030000024   
0601ARA0N       20190101000125100000005000 0000000030000024   
0601ARA0N       20190101000130100000005000 0000000030000023   
0601ARA0N       20190101000135100000005000 0000000030000022   
0601ARA0N       20190101000140100000005000 0000000030000021   
0601ARA0N       20190101000145100000005000 0000000030000020   
0601ARA0N       20190101000150100000005000 0000000040000025   
0601ARA0N       20190101000155100000005000 0000000060000036   
0601ARA0N       20190101000160100000005000 0000000090000054   
0601ARA0N       20190101000165100000005000 0000000120000070   
0601ARA0N       20190101000170100000005000 0000000150000086   
0601ARA0N       20190101000175100000005000 0000000200000110   
0601ARA0N       20190101000180100000005000 0000000240000133   
0601ARA0N       20190101000185100000005000 0000000290000154   
0601ARA0N       20190101000190100000005000 0000000340000174   
0601ARA0N       20190101000195100000005000 0000000390000198   
0601ARA0N       20190101000200100000005000 0000000440000216   
0601ARA0N       20190101000205100000005000 0000000490000235   
0601ARA0N       20190101000210100000005000 0000000540000254   
0601ARA0N       20190101000215100000005000 0000000600000275   
0601ARA0N       20190101000220100000005000 0000000660000296   
0601ARA0N       20190101000225100000005000 0000000720000315   
0601ARA0N       20190101000230100000005000 0000000780000334   
0601ARA0N       20190101000235100000005000 0000000830000351   
0601ARA0N       20190101000240100000005000 0000000890000368   
0601ARA0N       20190101000245100000005000 0000000950000385   
0601ARA0N       20190101000250100000005000 0000001010000401   
0601ARA0N       20190101000255100000005000 0000001070000416   
0601ARA0N       20190101000260100000005000 0000001130000430   
0601ARA0N       20190101000265100000005000 0000001190000444   
0601ARA0N       20190101000270100000005000 0000001250000458   
0601ARA0N       20190101000275100000005000 0000001310000471   
0601ARA0N       20190101000280100000005000 0000001370000484   
0601ARA0N       20190101000285100000005000 0000001430000496   
0601ARA0N       20190101000290100000005000 0000001480000508   
0601ARA0N       20190101000295100000005000 0000001540000519   
0601ARA0N       20190101000300100000005000 0000001600000530   
0601ARA0N       20190101000305100000005000 0000001660000540   
0601ARA0N       20190101000310100000005000 0000001720000551   
0601ARA0N       20190101000315100000005000 0000001780000561   
0601ARA0N       20190101000320100000005000 0000001840000571   
0601ARA0N       20190101000325100000005000 0000001930000588   
0601ARA0N       20190101000330100000005000 0000002000000601   
0601ARA0N       20190101000335100000005000 0000002070000613   
0601ARA0N       20190101000340100000005000 0000002140000625   
0601ARA0N       20190101000345100000005000 0000002210000637   
0601ARA0N       20190101000350100000005000 0000002280000648   
0601ARA0N       20190101000355100000005000 0000002360000659   
0601ARA0N       20190101000360100000005000 0000002430000670   
0601ARA0N       20190101000365100000005000 0000002500000680   
0601ARA0N       20190101000370100000005000 0000002570000690   
0601ARA0N       20190101000375100000005000 0000002640000700   
0601ARA0N       20190101000380100000005000 0000002710000710   
0601ARA0N       20190101000385100000005000 0000002790000719   
0601ARA0N       20190101000390100000005000 0000002860000728   
0601ARA0N       20190101000395100000005000 0000002930000737   
0601ARA0N       20190101000400100000005000 0000003000000746   
0601ARA0N       20190101000405100000005000 0000003070000754   
0601ARA0N       20190101000410100000005000 0000003150000763   
0601ARA0N       20190101000415100000005000 0000003220000771   
0601ARA0N       20190101000420100000005000 0000003290000779   
0601ARA0N       20190101000425100000005000 0000003360000786   
0601ARA0N       20190101000430100000005000 0000003430000794   
0601ARA0N       20190101000435100000005000 0000003510000801   
0601ARA0N       20190101000440100000005000 0000003580000809   
0601ARA0N       20190101000445100000005000 0000003650000816   
0601ARA0N       20190101000450100000005000 0000003720000823   
0601ARA0N       20190101000455100000005000 0000003810000832   
0601ARA0N       20190101000460100000005000 0000003880000840   
0601ARA0N       20190101000465100000005000 0000003960000847   
0601ARA0N       20190101000470100000005000 0000004050000856   
0601ARA0N       20190101000475100000005000 0000004130000865   
0601ARA0N       20190101000480100000005000 0000004220000874   
0601ARA0N       20190101000485100000005000 0000004300000882   
0601ARA0N       20190101000490100000005000 0000004390000891   
0601ARA0N       20190101000495100000005000 0000004470000899   
0601ARA0N       20190101000500100000005000 0000004560000907   
0601ARA0N       20190101000505100000005000 0000004650000915   
0601ARA0N       20190101000510100000005000 0000004730000923   
0601ARA0N       20190101000515100000005000 0000004820000931   
0601ARA0N       20190101000520100000005000 0000004900000939   
0601ARA0N       20190101000525100000005000 0000004990000946   
0601ARA0N       20190101000530100000005000 0000005080000953   
0601ARA0N       20190101000535100000005000 0000005160000960   
0601ARA0N       20190101000540100000005000 0000005250000967   
0601ARA0N       20190101000545100000005000 0000005330000974   
0601ARA0N       20190101000550100000005000 0000005420000981   
0601ARA0N       20190101000555100000005000 0000005510000987   
0601ARA0N       20190101000560100000005000 0000005610000997   
0601ARA0N       20190101000565100000005000 0000005690001003   
0601ARA0N       20190101000570100000005000 0000005780001009   
0601ARA0N       20190101000575100000005000 0000005860001015   
