00VD               20231110                                                                                   
0601VDA0N       20240101000000100000240000 0000000000000000   
0601VDA0N       20240101000240100000005000 0000000000000009   
0601VDA0N       20240101000245100000005000 0000000000000010   
0601VDA0N       20240101000250100000005000 0000000000000011   
0601VDA0N       20240101000255100000005000 0000000000000012   
0601VDA0N       20240101000260100000005000 0000000000000013   
0601VDA0N       20240101000265100000005000 0000000000000014   
0601VDA0N       20240101000270100000005000 0000000000000021   
0601VDA0N       20240101000275100000005000 0000000000000028   
0601VDA0N       20240101000280100000005000 0000000000000038   
0601VDA0N       20240101000285100000005000 0000000000000049   
0601VDA0N       20240101000290100000005000 0000000000000061   
0601VDA0N       20240101000295100000005000 0000000000000079   
0601VDA0N       20240101000300100000005000 0000000000000098   
0601VDA0N       20240101000305100000005000 0000000000000113   
0601VDA0N       20240101000310100000005000 0000000000000132   
0601VDA0N       20240101000315100000005000 0000000000000148   
0601VDA0N       20240101000320100000005000 0000000000000171   
0601VDA0N       20240101000325100000005000 0000000000000192   
0601VDA0N       20240101000330100000005000 0000000000000211   
0601VDA0N       20240101000335100000005000 0000000000000230   
0601VDA0N       20240101000340100000005000 0000000000000248   
0601VDA0N       20240101000345100000005000 0000000000000275   
0601VDA0N       20240101000350100000005000 0000000000000297   
0601VDA0N       20240101000355100000005000 0000000000000316   
0601VDA0N       20240101000360100000005000 0000000000000337   
0601VDA0N       20240101000365100000005000 0000000000000359   
0601VDA0N       20240101000370100000005000 0000000000000387   
0601VDA0N       20240101000375100000005000 0000000000000411   
0601VDA0N       20240101000380100000005000 0000000000000431   
0601VDA0N       20240101000385100000005000 0000000000000454   
0601VDA0N       20240101000390100000005000 0000000000000472   
0601VDA0N       20240101000395100000005000 0000000000000497   
0601VDA0N       20240101000400100000005000 0000000000000518   
0601VDA0N       20240101000405100000005000 0000000000000536   
0601VDA0N       20240101000410100000005000 0000000000000555   
0601VDA0N       20240101000415100000005000 0000000000000573   
0601VDA0N       20240101000420100000005000 0000000000000598   
0601VDA0N       20240101000425100000005000 0000000000000621   
0601VDA0N       20240101000430100000005000 0000000000000639   
0601VDA0N       20240101000435100000005000 0000000000000661   
0601VDA0N       20240101000440100000005000 0000000000000678   
0601VDA0N       20240101000445100000005000 0000000000000701   
0601VDA0N       20240101000450100000005000 0000000000000721   
0601VDA0N       20240101000455100000005000 0000000000000737   
0601VDA0N       20240101000460100000005000 0000000000000756   
0601VDA0N       20240101000465100000005000 0000000000000771   
0601VDA0N       20240101000470100000005000 0000000000000793   
0601VDA0N       20240101000475100000005000 0000000000000811   
0601VDA0N       20240101000480100000005000 0000000000000825   
0601VDA0N       20240101000485100000005000 0000000000000843   
0601VDA0N       20240101000490100000005000 0000000000000857   
