00OW               20241122                                                                                   
0601OWA0N       20250101000000100000040000 0000000030000000   
0601OWA0N       20250101000040100000005000 0000000030000071   
0601OWA0N       20250101000045100000005000 0000000030000063   
0601OWA0N       20250101000050100000005000 0000000030000057   
0601OWA0N       20250101000055100000005000 0000000030000052   
0601OWA0N       20250101000060100000005000 0000000030000048   
0601OWA0N       20250101000065100000005000 0000000030000044   
0601OWA0N       20250101000070100000005000 0000000030000041   
0601OWA0N       20250101000075100000005000 0000000030000039   
0601OWA0N       20250101000080100000005000 0000000030000036   
0601OWA0N       20250101000085100000005000 0000000030000034   
0601OWA0N       20250101000090100000005000 0000000030000032   
0601OWA0N       20250101000095100000005000 0000000030000031   
0601OWA0N       20250101000100100000005000 0000000030000029   
0601OWA0N       20250101000105100000005000 0000000030000028   
0601OWA0N       20250101000110100000005000 0000000030000027   
0601OWA0N       20250101000115100000005000 0000000030000026   
0601OWA0N       20250101000120100000005000 0000000030000024   
0601OWA0N       20250101000125100000005000 0000000030000024   
0601OWA0N       20250101000130100000005000 0000000030000023   
0601OWA0N       20250101000135100000005000 0000000030000022   
0601OWA0N       20250101000140100000005000 0000000030000021   
0601OWA0N       20250101000145100000005000 0000000030000020   
0601OWA0N       20250101000150100000005000 0000000030000020   
0601OWA0N       20250101000155100000005000 0000000030000019   
0601OWA0N       20250101000160100000005000 0000000030000018   
0601OWA0N       20250101000165100000005000 0000000030000018   
0601OWA0N       20250101000170100000005000 0000000030000017   
0601OWA0N       20250101000175100000005000 0000000030000017   
0601OWA0N       20250101000180100000005000 0000000030000016   
0601OWA0N       20250101000185100000005000 0000000030000016   
0601OWA0N       20250101000190100000005000 0000000030000016   
0601OWA0N       20250101000195100000005000 0000000030000015   
0601OWA0N       20250101000200100000005000 0000000030000015   
0601OWA0N       20250101000205100000005000 0000000030000029   
0601OWA0N       20250101000210100000005000 0000000030000061   
0601OWA0N       20250101000215100000005000 0000000030000087   
0601OWA0N       20250101000220100000005000 0000000030000117   
0601OWA0N       20250101000225100000005000 0000000030000145   
0601OWA0N       20250101000230100000005000 0000000030000172   
0601OWA0N       20250101000235100000005000 0000000030000194   
0601OWA0N       20250101000240100000005000 0000000030000219   
0601OWA0N       20250101000245100000005000 0000000030000251   
0601OWA0N       20250101000250100000005000 0000000030000269   
0601OWA0N       20250101000255100000005000 0000000030000295   
0601OWA0N       20250101000260100000005000 0000000030000316   
0601OWA0N       20250101000265100000005000 0000000030000340   
0601OWA0N       20250101000270100000005000 0000000030000356   
0601OWA0N       20250101000275100000005000 0000000030000375   
0601OWA0N       20250101000280100000005000 0000000030000396   
0601OWA0N       20250101000285100000005000 0000000030000410   
0601OWA0N       20250101000290100000005000 0000000030000427   
0601OWA0N       20250101000295100000005000 0000000030000447   
0601OWA0N       20250101000300100000005000 0000000030000463   
0601OWA0N       20250101000305100000005000 0000000030000475   
0601OWA0N       20250101000310100000005000 0000000030000490   
0601OWA0N       20250101000315100000005000 0000000030000507   
0601OWA0N       20250101000320100000005000 0000000030000518   
0601OWA0N       20250101000325100000005000 0000000030000531   
0601OWA0N       20250101000330100000005000 0000000030000547   
0601OWA0N       20250101000335100000005000 0000000030000560   
0601OWA0N       20250101000340100000005000 0000000030000569   
0601OWA0N       20250101000345100000005000 0000000030000584   
0601OWA0N       20250101000350100000005000 0000000030000596   
0601OWA0N       20250101000355100000005000 0000000030000604   
0601OWA0N       20250101000360100000005000 0000000030000618   
0601OWA0N       20250101000365100000005000 0000000030000629   
0601OWA0N       20250101000370100000005000 0000000030000642   
0601OWA0N       20250101000375100000005000 0000000030000649   
0601OWA0N       20250101000380100000005000 0000000030000659   
0601OWA0N       20250101000385100000005000 0000000030000671   
0601OWA0N       20250101000390100000005000 0000000030000678   
0601OWA0N       20250101000395100000005000 0000000030000687   
0601OWA0N       20250101000400100000005000 0000000030000698   
0601OWA0N       20250101000405100000005000 0000000030000707   
0601OWA0N       20250101000410100000005000 0000000030000713   
0601OWA0N       20250101000415100000005000 0000000030000723   
0601OWA0N       20250101000420100000005000 0000000030000731   
0601OWA0N       20250101000425100000005000 0000000030000737   
0601OWA0N       20250101000430100000005000 0000000030000747   
0601OWA0N       20250101000435100000005000 0000000030000754   
