00GL               20251204                                                                                   
0601GLA0N       20260101000000100000120000 0000000104000000   
0601GLA0N       20260101000120100000005000 0000000104000000   
0601GLA0N       20260101000125100000005000 0000000104000000   
0601GLA0N       20260101000130100000005000 0000000104000000   
0601GLA0N       20260101000135100000005000 0000000104000000   
0601GLA0N       20260101000140100000005000 0000000104000000   
0601GLA0N       20260101000145100000005000 0000000104000000   
0601GLA0N       20260101000150100000005000 0000000104000000   
0601GLA0N       20260101000155100000005000 0000000104000000   
0601GLA0N       20260101000160100000005000 0000000104000000   
0601GLA0N       20260101000165100000005000 0000000104000090   
0601GLA0N       20260101000170100000005000 0000000104000110   
0601GLA0N       20260101000175100000005000 0000000104000130   
0601GLA0N       20260101000180100000005000 0000000104000142   
0601GLA0N       20260101000185100000005000 0000000104000160   
0601GLA0N       20260101000190100000005000 0000000104000177   
0601GLA0N       20260101000195100000005000 0000000104000192   
0601GLA0N       20260101000200100000005000 0000000104000207   
0601GLA0N       20260101000205100000005000 0000000104000222   
0601GLA0N       20260101000210100000005000 0000000104000235   
0601GLA0N       20260101000215100000005000 0000000104000248   
0601GLA0N       20260101000220100000005000 0000000104000261   
0601GLA0N       20260101000225100000005000 0000000104000273   
0601GLA0N       20260101000230100000005000 0000000104000284   
0601GLA0N       20260101000235100000005000 0000000104000295   
0601GLA0N       20260101000240100000005000 0000000104000309   
0601GLA0N       20260101000245100000005000 0000000104000327   
0601GLA0N       20260101000250100000005000 0000000104000337   
0601GLA0N       20260101000255100000005000 0000000104000350   
0601GLA0N       20260101000260100000005000 0000000104000358   
0601GLA0N       20260101000265100000005000 0000000104000370   
0601GLA0N       20260101000270100000005000 0000000104000385   
0601GLA0N       20260101000275100000005000 0000000104000396   
0601GLA0N       20260101000280100000005000 0000000104000411   
0601GLA0N       20260101000285100000005000 0000000104000424   
0601GLA0N       20260101000290100000005000 0000000104000438   
0601GLA0N       20260101000295100000005000 0000000104000450   
0601GLA0N       20260101000300100000005000 0000000104000463   
0601GLA0N       20260101000305100000005000 0000000104000475   
0601GLA0N       20260101000310100000005000 0000000104000486   
0601GLA0N       20260101000315100000005000 0000000104000498   
0601GLA0N       20260101000320100000005000 0000000104000509   
0601GLA0N       20260101000325100000005000 0000000104000516   
0601GLA0N       20260101000330100000005000 0000000104000526   
0601GLA0N       20260101000335100000005000 0000000104000536   
0601GLA0N       20260101000340100000005000 0000000104000546   
0601GLA0N       20260101000345100000005000 0000000104000555   
0601GLA0N       20260101000350100000005000 0000000104000565   
0601GLA0N       20260101000355100000005000 0000000104000573   
0601GLA0N       20260101000360100000005000 0000000104000582   
0601GLA0N       20260101000365100000005000 0000000104000590   
0601GLA0N       20260101000370100000005000 0000000104000599   
0601GLA0N       20260101000375100000005000 0000000104000609   
0601GLA0N       20260101000380100000005000 0000000104000620   
0601GLA0N       20260101000385100000005000 0000000104000630   
0601GLA0N       20260101000390100000005000 0000000104000639   
0601GLA0N       20260101000395100000005000 0000000104000649   
0601GLA0N       20260101000400100000005000 0000000104000658   
0601GLA0N       20260101000405100000005000 0000000104000667   
0601GLA0N       20260101000410100000005000 0000000104000676   
0601GLA0N       20260101000415100000005000 0000000104000685   
0601GLA0N       20260101000420100000005000 0000000104000693   
0601GLA0N       20260101000425100000005000 0000000104000702   
0601GLA0N       20260101000430100000005000 0000000104000708   
0601GLA0N       20260101000435100000005000 0000000104000715   
0601GLA0N       20260101000440100000005000 0000000104000723   
0601GLA0N       20260101000445100000005000 0000000104000731   
0601GLA0N       20260101000450100000005000 0000000104000738   
0601GLA0N       20260101000455100000005000 0000000104000745   
0601GLA0N       20260101000460100000005000 0000000104000752   
0601GLA0N       20260101000465100000005000 0000000104000759   
0601GLA0N       20260101000470100000005000 0000000104000766   
0601GLA0N       20260101000475100000005000 0000000104000773   
0601GLA0N       20260101000480100000005000 0000000104000779   
0601GLA0N       20260101000485100000005000 0000000104000786   
0601GLA0N       20260101000490100000005000 0000000104000792   
0601GLA0N       20260101000495100000005000 0000000104000798   
0601GLA0N       20260101000500100000005000 0000000104000806   
0601GLA0N       20260101000505100000005000 0000000104000812   
0601GLA0N       20260101000510100000005000 0000000104000820   
0601GLA0N       20260101000515100000005000 0000000104000827   
0601GLA0N       20260101000520100000005000 0000000104000834   
0601GLA0N       20260101000525100000005000 0000000104000840   
0601GLA0N       20260101000530100000005000 0000000104000847   
0601GLA0N       20260101000535100000005000 0000000104000852   
0601GLA0N       20260101000540100000005000 0000000104000857   
0601GLA0N       20260101000545100000005000 0000000104000864   
0601GLA0N       20260101000550100000005000 0000000104000871   
0601GLA0N       20260101000555100000005000 0000000104000875   
0601GLA0N       20260101000560100000005000 0000000104000882   
0601GLA0N       20260101000565100000005000 0000000104000888   
0601GLA0N       20260101000570100000005000 0000000104000893   
0601GLA0N       20260101000575100000005000 0000000104000899   
0601GLA0N       20260101000580100000005000 0000000104000903   
0601GLA0N       20260101000585100000005000 0000000104000911   
0601GLA0N       20260101000590100000005000 0000000104000918   
0601GLA0N       20260101000595100000005000 0000000104000924   
0601GLA0N       20260101000600100000005000 0000000104000931   
0601GLA0N       20260101000605100000005000 0000000104000935   
0601GLA0N       20260101000610100000005000 0000000104000942   
0601GLA0N       20260101000615100000005000 0000000104000949   
0601GLA0N       20260101000620100000005000 0000000104000954   
0601GLA0N       20260101000625100000005000 0000000104000961   
0601GLA0N       20260101000630100000005000 0000000104000964   
0601GLA0N       20260101000635100000005000 0000000104000971   
0601GLA0N       20260101000640100000005000 0000000104000977   
0601GLA0N       20260101000645100000005000 0000000104000984   
0601GLA0N       20260101000650100000005000 0000000104000989   
0601GLA0N       20260101000655100000005000 0000000104000993   
0601GLA0N       20260101000660100000005000 0000000104000999   
0601GLA0N       20260101000665100000005000 0000000104001005   
0601GLA0N       20260101000670100000005000 0000000104001010   
0601GLA0N       20260101000675100000005000 0000000104001015   
0601GLA0N       20260101000680100000005000 0000000104001021   
0601GLA0N       20260101000685100000005000 0000000104001024   
0601GLA0N       20260101000690100000005000 0000000104001030   
0601GLA0N       20260101000695100000005000 0000000104001035   
0601GLA0N       20260101000700100000005000 0000000104001041   
0601GLA0N       20260101000705100000005000 0000000104001046   
0601GLA0N       20260101000710100000005000 0000000104001048   
0601GLA0N       20260101000715100000005000 0000000104001054   
0601GLA0N       20260101000720100000005000 0000000104001059   
0601GLA0N       20260101000725100000005000 0000000104001064   
0601GLA0N       20260101000730100000005000 0000000104001068   
0601GLA0N       20260101000735100000005000 0000000104001071   
0601GLA0N       20260101000740100000005000 0000000104001076   
0601GLA0N       20260101000745100000005000 0000000104001080   
0601GLA0N       20260101000750100000005000 0000000104001084   
0601GLA0N       20260101000755100000005000 0000000104001089   
0601GLA0N       20260101000760100000005000 0000000104001091   
0601GLA0N       20260101000765100000005000 0000000104001096   
0601GLA0N       20260101000770100000005000 0000000104001100   
0601GLA0N       20260101000775100000005000 0000000104001105   
0601GLA0N       20260101000780100000005000 0000000104001109   
0601GLA0N       20260101000785100000005000 0000000104001111   
0601GLA0N       20260101000790100000005000 0000000104001115   
0601GLA0N       20260101000795100000005000 0000000104001120   
0601GLA0N       20260101000800100000005000 0000000104001124   
0601GLA0N       20260101000805100000005000 0000000104001128   
0601GLA0N       20260101000810100000005000 0000000104001130   
0601GLA0N       20260101000815100000005000 0000000104001134   
0601GLA0N       20260101000820100000005000 0000000104001138   
0601GLA0N       20260101000825100000005000 0000000104001143   
0601GLA0N       20260101000830100000005000 0000000104001148   
0601GLA0N       20260101000835100000005000 0000000104001153   
0601GLA0N       20260101000840100000005000 0000000104001156   
0601GLA0N       20260101000845100000005000 0000000104001161   
0601GLA0N       20260101000850100000005000 0000000104001167   
0601GLA0N       20260101000855100000005000 0000000104001172   
0601GLA0N       20260101000860100000005000 0000000104001177   
0601GLA0N       20260101000865100000005000 0000000104001182   
0601GLA0N       20260101000870100000005000 0000000104001186   
0601GLA0N       20260101000875100000005000 0000000104001191   
0601GLA0N       20260101000880100000005000 0000000104001195   
0601GLA0N       20260101000885100000005000 0000000104001200   
0601GLA0N       20260101000890100000005000 0000000104001206   
0601GLA0N       20260101000895100000005000 0000000104001208   
0601GLA0N       20260101000900100000005000 0000000104001212   
0601GLA0N       20260101000905100000005000 0000000104001218   
0601GLA0N       20260101000910100000005000 0000000104001222   
0601GLA0N       20260101000915100000005000 0000000104001227   
0601GLA0N       20260101000920100000005000 0000000104001231   
0601GLA0N       20260101000925100000005000 0000000104001236   
0601GLA0N       20260101000930100000005000 0000000104001241   
0601GLA0N       20260101000935100000005000 0000000104001245   
0601GLA0N       20260101000940100000005000 0000000104001249   
0601GLA0N       20260101000945100000005000 0000000104001254   
0601GLA0N       20260101000950100000005000 0000000104001258   
0601GLA0N       20260101000955100000005000 0000000104001262   
0601GLA0N       20260101000960100000005000 0000000104001266   
0601GLA0N       20260101000965100000005000 0000000104001270   
0601GLA0N       20260101000970100000005000 0000000104001275   
0601GLA0N       20260101000975100000005000 0000000104001279   
0601GLA0N       20260101000980100000005000 0000000104001282   
0601GLA0N       20260101000985100000005000 0000000104001287   
0601GLA0N       20260101000990100000005000 0000000104001291   
0601GLA0N       20260101000995100000005000 0000000104001294   
0601GLA0N       20260101001000100000005000 0000000104001299   
0601GLA0N       20260101001005100000005000 0000000104001302   
0601GLA0N       20260101001010100000005000 0000000104001306   
0601GLA0N       20260101001015100000005000 0000000104001310   
0601GLA0N       20260101001020100000005000 0000000104001313   
0601GLA0N       20260101001025100000005000 0000000104001317   
0601GLA0N       20260101001030100000005000 0000000104001321   
0601GLA0N       20260101001035100000005000 0000000104001324   
0601GLA0N       20260101001040100000005000 0000000104001329   
0601GLA0N       20260101001045100000005000 0000000104001332   
0601GLA0N       20260101001050100000005000 0000000104001335   
0601GLA0N       20260101001055100000005000 0000000104001339   
0601GLA0N       20260101001060100000005000 0000000104001342   
0601GLA0N       20260101001065100000005000 0000000104001345   
0601GLA0N       20260101001070100000005000 0000000104001349   
0601GLA0N       20260101001075100000005000 0000000104001352   
0601GLA0N       20260101001080100000005000 0000000104001355   
0601GLA0N       20260101001085100000005000 0000000104001359   
0601GLA0N       20260101001090100000005000 0000000104001362   
0601GLA0N       20260101001095100000005000 0000000104001365   
0601GLA0N       20260101001100100000005000 0000000104001369   
0601GLA0N       20260101001105100000005000 0000000104001372   
0601GLA0N       20260101001110100000005000 0000000104001375   
0601GLA0N       20260101001115100000005000 0000000104001379   
0601GLA0N       20260101001120100000005000 0000000104001383   
0601GLA0N       20260101001125100000005000 0000000104001386   
0601GLA0N       20260101001130100000005000 0000000104001392   
0601GLA0N       20260101001135100000005000 0000000104001395   
0601GLA0N       20260101001140100000005000 0000000104001399   
0601GLA0N       20260101001145100000005000 0000000104001401   
0601GLA0N       20260101001150100000005000 0000000104001406   
0601GLA0N       20260101001155100000005000 0000000104001410   
0601GLA0N       20260101001160100000005000 0000000104001416   
0601GLA0N       20260101001165100000005000 0000000104001420   
0601GLA0N       20260101001170100000005000 0000000104001423   
0601GLA0N       20260101001175100000005000 0000000104001428   
0601GLA0N       20260101001180100000005000 0000000104001432   
0601GLA0N       20260101001185100000005000 0000000104001436   
0601GLA0N       20260101001190100000005000 0000000104001442   
0601GLA0N       20260101001195100000005000 0000000104001446   
0601GLA0N       20260101001200100000005000 0000000104001449   
0601GLA0N       20260101001205100000005000 0000000104001453   
0601GLA0N       20260101001210100000005000 0000000104001456   
0601GLA0N       20260101001215100000005000 0000000104001460   
0601GLA0N       20260101001220100000005000 0000000104001466   
0601GLA0N       20260101001225100000005000 0000000104001470   
0601GLA0N       20260101001230100000005000 0000000104001473   
0601GLA0N       20260101001235100000005000 0000000104001476   
0601GLA0N       20260101001240100000005000 0000000104001480   
0601GLA0N       20260101001245100000005000 0000000104001485   
0601GLA0N       20260101001250100000005000 0000000104001489   
0601GLA0N       20260101001255100000005000 0000000104001493   
0601GLA0N       20260101001260100000005000 0000000104001498   
0601GLA0N       20260101001265100000005000 0000000104001501   
0601GLA0N       20260101001270100000005000 0000000104001504   
0601GLA0N       20260101001275100000005000 0000000104001508   
0601GLA0N       20260101001280100000005000 0000000104001513   
0601GLA0N       20260101001285100000005000 0000000104001516   
0601GLA0N       20260101001290100000005000 0000000104001520   
0601GLA0N       20260101001295100000005000 0000000104001524   
0601GLA0N       20260101001300100000005000 0000000104001528   
0601GLA0N       20260101001305100000005000 0000000104001531   
0601GLA0N       20260101001310100000005000 0000000104001536   
0601GLA0N       20260101001315100000005000 0000000104001539   
0601GLA0N       20260101001320100000005000 0000000104001542   
0601GLA0N       20260101001325100000005000 0000000104001545   
0601GLA0N       20260101001330100000005000 0000000104001550   
0601GLA0N       20260101001335100000005000 0000000104001553   
0601GLA0N       20260101001340100000005000 0000000104001556   
0601GLA0N       20260101001345100000005000 0000000104001561   
0601GLA0N       20260101001350100000005000 0000000104001564   
0601GLA0N       20260101001355100000005000 0000000104001567   
0601GLA0N       20260101001360100000005000 0000000104001569   
0601GLA0N       20260101001365100000005000 0000000104001574   
0601GLA0N       20260101001370100000005000 0000000104001577   
0601GLA0N       20260101001375100000005000 0000000104001580   
0601GLA0N       20260101001380100000005000 0000000104001584   
0601GLA0N       20260101001385100000005000 0000000104001587   
0601GLA0N       20260101001390100000005000 0000000104001590   
0601GLA0N       20260101001395100000005000 0000000104001593   
0601GLA0N       20260101001400100000005000 0000000104001597   
0601GLA0N       20260101001405100000005000 0000000104001599   
0601GLA0N       20260101001410100000005000 0000000104001602   
0601GLA0N       20260101001415100000005000 0000000104001606   
0601GLA0N       20260101001420100000005000 0000000104001609   
0601GLA0N       20260101001425100000005000 0000000104001612   
0601GLA0N       20260101001430100000005000 0000000104001616   
0601GLA0N       20260101001435100000005000 0000000104001619   
0601GLA0N       20260101001440100000005000 0000000104001621   
0601GLA0N       20260101001445100000005000 0000000104001623   
0601GLA0N       20260101001450100000005000 0000000104001628   
0601GLA0N       20260101001455100000005000 0000000104001630   
0601GLA0N       20260101001460100000005000 0000000104001634   
0601GLA0N       20260101001465100000005000 0000000104001638   
0601GLA0N       20260101001470100000005000 0000000104001641   
0601GLA0N       20260101001475100000005000 0000000104001644   
0601GLA0N       20260101001480100000005000 0000000104001647   
0601GLA0N       20260101001485100000005000 0000000104001652   
0601GLA0N       20260101001490100000005000 0000000104001655   
0601GLA0N       20260101001495100000005000 0000000104001658   
0601GLA0N       20260101001500100000005000 0000000104001663   
0601GLA0N       20260101001505100000005000 0000000104001666   
0601GLA0N       20260101001510100000005000 0000000104001668   
0601GLA0N       20260101001515100000005000 0000000104001673   
0601GLA0N       20260101001520100000005000 0000000104001676   
0601GLA0N       20260101001525100000005000 0000000104001679   
0601GLA0N       20260101001530100000005000 0000000104001682   
0601GLA0N       20260101001535100000005000 0000000104001686   
0601GLA0N       20260101001540100000005000 0000000104001689   
0601GLA0N       20260101001545100000005000 0000000104001691   
