00OW               20251205                                                                                   
0601OWA0N       20260101000000100000040000 0000000030000000   
0601OWA0N       20260101000040100000005000 0000000030000071   
0601OWA0N       20260101000045100000005000 0000000030000063   
0601OWA0N       20260101000050100000005000 0000000030000057   
0601OWA0N       20260101000055100000005000 0000000030000052   
0601OWA0N       20260101000060100000005000 0000000030000048   
0601OWA0N       20260101000065100000005000 0000000030000044   
0601OWA0N       20260101000070100000005000 0000000030000041   
0601OWA0N       20260101000075100000005000 0000000030000039   
0601OWA0N       20260101000080100000005000 0000000030000036   
0601OWA0N       20260101000085100000005000 0000000030000034   
0601OWA0N       20260101000090100000005000 0000000030000032   
0601OWA0N       20260101000095100000005000 0000000030000031   
0601OWA0N       20260101000100100000005000 0000000030000029   
0601OWA0N       20260101000105100000005000 0000000030000028   
0601OWA0N       20260101000110100000005000 0000000030000027   
0601OWA0N       20260101000115100000005000 0000000030000026   
0601OWA0N       20260101000120100000005000 0000000030000024   
0601OWA0N       20260101000125100000005000 0000000030000024   
0601OWA0N       20260101000130100000005000 0000000030000023   
0601OWA0N       20260101000135100000005000 0000000030000022   
0601OWA0N       20260101000140100000005000 0000000030000021   
0601OWA0N       20260101000145100000005000 0000000030000020   
0601OWA0N       20260101000150100000005000 0000000030000020   
0601OWA0N       20260101000155100000005000 0000000030000019   
0601OWA0N       20260101000160100000005000 0000000030000018   
0601OWA0N       20260101000165100000005000 0000000030000018   
0601OWA0N       20260101000170100000005000 0000000030000017   
0601OWA0N       20260101000175100000005000 0000000030000017   
0601OWA0N       20260101000180100000005000 0000000030000016   
0601OWA0N       20260101000185100000005000 0000000030000016   
0601OWA0N       20260101000190100000005000 0000000030000016   
0601OWA0N       20260101000195100000005000 0000000030000015   
0601OWA0N       20260101000200100000005000 0000000030000015   
0601OWA0N       20260101000205100000005000 0000000030000024   
0601OWA0N       20260101000210100000005000 0000000030000047   
0601OWA0N       20260101000215100000005000 0000000030000078   
0601OWA0N       20260101000220100000005000 0000000030000108   
0601OWA0N       20260101000225100000005000 0000000030000132   
0601OWA0N       20260101000230100000005000 0000000030000159   
0601OWA0N       20260101000235100000005000 0000000030000185   
0601OWA0N       20260101000240100000005000 0000000030000206   
0601OWA0N       20260101000245100000005000 0000000030000238   
0601OWA0N       20260101000250100000005000 0000000030000265   
0601OWA0N       20260101000255100000005000 0000000030000283   
0601OWA0N       20260101000260100000005000 0000000030000305   
0601OWA0N       20260101000265100000005000 0000000030000329   
0601OWA0N       20260101000270100000005000 0000000030000349   
0601OWA0N       20260101000275100000005000 0000000030000364   
0601OWA0N       20260101000280100000005000 0000000030000382   
0601OWA0N       20260101000285100000005000 0000000030000403   
0601OWA0N       20260101000290100000005000 0000000030000417   
0601OWA0N       20260101000295100000005000 0000000030000434   
0601OWA0N       20260101000300100000005000 0000000030000453   
0601OWA0N       20260101000305100000005000 0000000030000465   
0601OWA0N       20260101000310100000005000 0000000030000480   
0601OWA0N       20260101000315100000005000 0000000030000494   
0601OWA0N       20260101000320100000005000 0000000030000509   
0601OWA0N       20260101000325100000005000 0000000030000522   
0601OWA0N       20260101000330100000005000 0000000030000535   
0601OWA0N       20260101000335100000005000 0000000030000545   
0601OWA0N       20260101000340100000005000 0000000030000561   
0601OWA0N       20260101000345100000005000 0000000030000573   
0601OWA0N       20260101000350100000005000 0000000030000582   
0601OWA0N       20260101000355100000005000 0000000030000596   
0601OWA0N       20260101000360100000005000 0000000030000607   
0601OWA0N       20260101000365100000005000 0000000030000615   
0601OWA0N       20260101000370100000005000 0000000030000628   
0601OWA0N       20260101000375100000005000 0000000030000638   
0601OWA0N       20260101000380100000005000 0000000030000648   
0601OWA0N       20260101000385100000005000 0000000030000655   
0601OWA0N       20260101000390100000005000 0000000030000668   
0601OWA0N       20260101000395100000005000 0000000030000677   
0601OWA0N       20260101000400100000005000 0000000030000683   
0601OWA0N       20260101000405100000005000 0000000030000694   
0601OWA0N       20260101000410100000005000 0000000030000703   
0601OWA0N       20260101000415100000005000 0000000030000709   
0601OWA0N       20260101000420100000005000 0000000030000720   
0601OWA0N       20260101000425100000005000 0000000030000727   
0601OWA0N       20260101000430100000005000 0000000030000733   
0601OWA0N       20260101000435100000005000 0000000030000743   
0601OWA0N       20260101000440100000005000 0000000030000750   
0601OWA0N       20260101000445100000005000 0000000030000755   
0601OWA0N       20260101000450100000005000 0000000030000765   
0601OWA0N       20260101000455100000005000 0000000030000772   
0601OWA0N       20260101000460100000005000 0000000030000776   
0601OWA0N       20260101000465100000005000 0000000030000785   
0601OWA0N       20260101000470100000005000 0000000030000792   
0601OWA0N       20260101000475100000005000 0000000030000796   
0601OWA0N       20260101000480100000005000 0000000030000804   
0601OWA0N       20260101000485100000005000 0000000030000810   
0601OWA0N       20260101000490100000005000 0000000030000816   
0601OWA0N       20260101000495100000005000 0000000030000822   
0601OWA0N       20260101000500100000005000 0000000030000830   
0601OWA0N       20260101000505100000005000 0000000030000837   
0601OWA0N       20260101000510100000005000 0000000030000843   
0601OWA0N       20260101000515100000005000 0000000030000850   
0601OWA0N       20260101000520100000005000 0000000030000857   
0601OWA0N       20260101000525100000005000 0000000030000863   
0601OWA0N       20260101000530100000005000 0000000030000871   
0601OWA0N       20260101000535100000005000 0000000030000878   
0601OWA0N       20260101000540100000005000 0000000030000883   
0601OWA0N       20260101000545100000005000 0000000030000889   
0601OWA0N       20260101000550100000005000 0000000030000896   
0601OWA0N       20260101000555100000005000 0000000030000900   
0601OWA0N       20260101000560100000005000 0000000030000907   
0601OWA0N       20260101000565100000005000 0000000030000911   
0601OWA0N       20260101000570100000005000 0000000030000915   
0601OWA0N       20260101000575100000005000 0000000030000919   
0601OWA0N       20260101000580100000005000 0000000030000924   
0601OWA0N       20260101000585100000005000 0000000030000929   
0601OWA0N       20260101000590100000005000 0000000030000933   
0601OWA0N       20260101000595100000005000 0000000030000937   
0601OWA0N       20260101000600100000005000 0000000030000941   
0601OWA0N       20260101000605100000005000 0000000030000945   
0601OWA0N       20260101000610100000005000 0000000030000949   
0601OWA0N       20260101000615100000005000 0000000030000954   
0601OWA0N       20260101000620100000005000 0000000030000957   
